,id,due_time,skill_tags,company_tags,position,category_tags,address.country,address.full_location,address.geo_location.n_location.lat,address.geo_location.n_location.lng,address.geo_location.location_type,address.location,address.country_code,detail.requirements,detail.main_tasks,detail.preferred_points,company.industry_name,company.application_response_stats.avg_rate,company.application_response_stats.avg_day,company.name,logo_img.origin,url,year
0,36864,,"['Java', 'Python', 'SQL']","['Salary Top 1%', 'Rapid Company Growth', 'Less than 50 employees', 'Company less than 10 years old', 'Flexible Working Hours', 'Sabbatical Leave', 'Check-up', 'School fee', 'Work From Home']",백엔드 개발자 (빅데이터 플랫폼),"['자바 개발자', '서버 개발자', '빅데이터 엔지니어']",Korea,서울 마포구 새창로 7 SNU장학빌딩 16층,37.5424848,126.9509735,ROOFTOP,Seoul,kr,"• 프레임워크를 사용하지 않고 자바만을 이용한 멀티스레딩 프로그래밍 경험
• JDBC 응용개발 경험
• 원활한 커뮤니케이션","• 로그프레소 기반의 빅데이터 플랫폼 백엔드 서버 개발
• 로그프레소 백엔드와 프론트엔드 간의 REST API 인터페이스 구현
• 매일 1TB 이상 수집되는 빅데이터를 대상으로 수집 및 분석 기능 설계 및 개발
• 다양한 솔루션 및 서비스의 로그와 API를 연계하여 로그프레소 플러그인 모듈 설계 및 개발","• 1개 이상의 범용 프로그래밍 언어 경험 (스크립트 언어 포함)
• 컴퓨터공학에 준하는 기술 또는 경험
• 네트워크 및 통신에 대한 기술적 이해
• 멀티스레드 동시성 제어 및 비동기 프로그래밍의 이해
• git 혹은 기타 버전관리 시스템을 사용한 프로젝트 경험
• OSGi, Maven, Jenkins 기반 개발 및 배포 경험
• 운영 환경의 JVM GC 원인 분석 및 성능 최적화 경험
• Websocket 운용에 대한 이해
• Angular 프레임워크 경험","IT, Media",82.8,3.0,로그프레소,https://static.wanted.co.kr/images/wdes/0_4.83694270.jpg,https://www.wanted.co.kr/wd/36864,"[2, -1]"
1,104449,,"['C#', 'C++']","['Salary Top 1%', 'Rapid Company Growth', '51~300 employees', 'Company less than 10 years old', 'Daycare Center', 'Check-up', 'Group Insurance', 'AI']",AI researcher for biology,['머신러닝 엔지니어'],Korea,"경기도 성남시 분당구 판교역로 152, 알파돔타워 12층 카카오브레인",,,APPROXIMATE,Gyeonggi,kr,"필수조건

- 파이썬 프로그래밍 능숙
- 딥러닝 프레임워크 (PyTorch, TensorFlow)를 다룰 수 있는 분
- AI 로 신약개발 R&D의 혁신을 꿈꾸는 분


아래 요건 중 한 개의 경력을 보유하셨거나 이에 준하는 경력을 보유하신 분

- 관련 분야 (화학, 화학공학, 전산화학, 전산생물학, 신소재공학, 전산학과, AI 등) 석사 이상 학위 보유 (졸업 예정자 가능)
- Insilico 기반 material or drug discovery 분야 3년 이상의 연구/개발 경력
- AI 관련 분야 3년 이상의 연구/개발 경력","- 본 공고를 통해 영입된 분은 아래 프로젝트들에 참여하여 주도적으로 연구 업무를 수행합니다.
- 알파폴드2, 로제타폴드를 개선한 Global 최고 수준의 단백질 구조 예측 모델 연구/개발
- AI 기반 단백질 신약개발 관련 핵심 기술 연구/개발","우대 조건 (아래 요건 중 최소 3가지 이상의 조건을 보유하신분을 선호합니다)

- Kaggle, AI Hackathon 등 AI Competition 수상 실적
- 엔지니어링 역량을 입증할 수 있는 챌린지 수상 경력, SW 개발 경험등을 보유하신 분
- Material discovery, Drug discovery, Computational chemistry, Computational biology 등 본 공고 관련 분야 내용으로 저널 또는 AI 주요 학회 논문 게재 실적
- AI 주요 학회 논문 실적
- 인실리코, 분자 시뮬레이션 또는 AI 기반 신약개발, 물질개발 프로젝트 경험
- 단백질 관련 프로젝트(구조 예측, 물성 예측, 시퀀스 생성) 등의 프로젝트 경험
- 다양한 딥러닝 아키텍쳐(CNN, GNN, transformer, etc) 프로그래밍에 능숙하고, 시퀀스 및 그래프 구조 모델링 경험 다수
- HHblits, Jackhmmr과 같은 생물학적 서열 분석 도구 및 Rosetta/PyRosetta와 같은 구조 모델링 도구 사용 경험
- 신약개발 산업 및 R&D 프로세스에 대한 이해
- Biological data 경험
- 리눅스 환경 프로젝트 경험
- 대규모 모델 학습 및 가속화 경험을 보유하신 분
- 특정 도메인에 AI 적용한 프로젝트 경험

영입 절차
서류 심사 → 1차 코딩테스트 → 온라인 인터뷰 → 2차 코딩테스트 → 최종 인터뷰 → 입사확정
(영입프로세스는 변경될 수 있으며 서류합격시 영입프로세스에 대해 별도로 안내해 드립니다)

기타 사항
- 남성의 경우 이력서에 병역사항을 반드시 작성해 주시기 바랍니다.","IT, Media",93.5,4.0,카카오브레인,https://static.wanted.co.kr/images/wdes/0_4.f908f8f5.png,https://www.wanted.co.kr/wd/104449,"[1, -1]"
2,8195,,"['Git', 'Linux', 'C / C++', 'C#', 'Java', 'Python', 'C++', 'Ubuntu']","['Rapid Company Growth', 'Less than 50 employees', 'Established over 10 years', 'Research Specialist', 'AI', 'Work From Home']",컴퓨터비전/머신러닝 연구원,"['C,C++ 개발자', '데이터 사이언티스트', '머신러닝 엔지니어']",Korea,서울특별시 강남구 강남대로132길 25 4층,37.512706,127.0230147,ROOFTOP,Seoul,kr,"- 석사/박사 학위 소유자 선호
- 컴퓨터비전 프로젝트 유경험자
- 전문연구요원 지원 가능","- 딥러닝 모델 개발 및 경량화
- 신체 부위 검출기 개발 (얼굴, 눈, 손, 핸드조인트, 바디조인트, 시선 등) 관련 프로젝트 리딩
- 인식기 개발 (가상터치 동작인식, 제어 의도 인식, 얼굴 인식) 관련 프로젝트 리딩
- 논문 연구(자문교수와 공동연구), 특허 출원, 챌린지 참가 가능","- 컴퓨터비전 프로젝트 리딩 경험
- 신체 부위 검출 및 인식기 개발 경험
- Tensorflow, Tensorflow Lite, Pytorch, OpenCV 사용 경험","IT, Media",85.7,8.0,브이터치(VTouch),https://static.wanted.co.kr/images/wdes/0_4_ab8663cf-a42a-4612-8955-8a43bcc3958a.jpg,https://www.wanted.co.kr/wd/8195,"[1, 10]"
3,96259,,"['iOS', 'Swift', 'MVVM']","['Rapid Company Growth', '51~300 employees', 'Established over 10 years', 'Check-up', 'Salary Top 11~20%']","DB(DBA, DW)","['데이터 엔지니어', '서버 개발자', '빅데이터 엔지니어']",Korea,압구정로148,37.5252028,127.0250702,ROOFTOP,Seoul,kr,"- SQL Server DBA 운영 업무 경력 2년/7년 이상 또는 그에 준하는 역량을 보유하신 분
- AWS 서비스 활용 경험(RDS, Aurora 등) 또는 Cloud 서비스의 SQL 활용 경험이 있으신 분
- Database 모니터링 계획 수립 및 운영을 해보신 분
- SQL을 능숙하게 다루시는 분
- Database 성능 튜닝 및 Query 튜닝을 해보신 분
- DW/DM 구축 및 운영 경험이 있으신 분
- OLTP/OLAP에 대한 이해도가 좋으신 분
- ETL 업무 수행 가능하신 분","- AWS Aurora, MySQL DB 운영 및 기술지원
- DB 장애 대응 및 예방 활동(DB 점검 및 모니터링)
- DB 모델링 및 튜닝
- DW/DM 설계, 개발, 운영
- ETL 관련 업무 수행
- 통계 데이터 추출 및 대용량 데이터 서비스 업무","- 이기종 데이터베이스 운영 및 마이그레이션 경험이 있으신 분
- 대용량 트래픽 처리를 위한 아키텍쳐 설계 및 구성 경험이 있으신 분
- e-Commerce, MSA에 대한 이해가 있으신 분
- 데이터베이스 운영 관리 정책(백업/복구 및 최적화 등) 수립 경험이 있으신 분
- ISMS 인증심사 대응 경험이 있으신 분
- SQL 자격증(OCA/OCP/OCM 등)을 보유하신 분
- 협업에 대한 긍정적이고 적극적인 마인드를 가지신 분
- 원활한 커뮤니케이션 능력 보유","IT, Media",93.5,3.0,머스트잇,https://static.wanted.co.kr/images/wdes/0_4.0bb23a0e.jpg,https://www.wanted.co.kr/wd/96259,"[7, 10]"
4,92165,,"['GraphQL', 'Hadoop', 'iOS', 'MySQL', 'Pytorch', 'React', 'Redis', 'Spark', 'Tensorflow', 'VueJS', 'JavaScript', 'Kotlin', 'Node.js', 'Python', 'Scala', 'Swift', 'TypeScript', 'MVVM', 'AWS', 'ETL', 'NoSQL', 'RDBMS', 'PostgreSQL', 'ElasticSearch', 'NodeJS', 'AAC']","['Salary Top 6~10%', 'Stable Investment', 'Rapid Company Growth', '51~300 employees', 'Established over 10 years', 'Flexible Working Hours', 'Stock Option', 'Meal Allowance', 'Drinks', 'Coffee', 'Fruits', 'Snacks', 'Transport allowance', 'Check-up']","지그재그 데이터 사이언티스트(추천, 개인화)",['데이터 사이언티스트'],Korea,서울특별시 강남구 테헤란로 521(파르나스타워) 27층,37.509545,127.0608688,ROOFTOP,Seoul,kr,"• 주요 업무의 과제 중 한 가지는 자신 있으신 분
• 데이터 모델링을 통해 비즈니스 문제를 해결해 보신 분
• 클라우드 환경에서의 데이터 모델링 경험이 있으신 분 (AWS 경험 선호)
• Python 프로그래밍 언어에 능숙하신 분
• Tensorflow, Keras, PyTorch 같은 딥러닝 프레임워크 사용에 익숙하신 분","• 데이터 모델링을 통한 전사 과제 해결
• 추천/개인화 모델 고도화
• 쇼핑몰 랭킹 고도화
• 지그재그 상품 인기도 고도화
• 광고 수익 예측을 통한 효율적인 광고 소재 관리 제공
• 상품 메타 데이터 자동 생성 및 관리
• 사용자 리뷰 데이터 분석을 위한 텍스트 모델링","• 프로덕션 레벨의 ML모델 개발 프로세스에 대한 이해가 높고 경험이 있으신 분
• 데이터 분석가/엔지니어 및 타 팀과의 커뮤니케이션이 원활하신 분
• 데이터 엔지니어링 및 분산 처리, 서버 개발 경험
• 사용하는 기술의 원리를 깊게 파악하고, 실무에 적용해보신 분","IT, Media",88.9,4.0,카카오스타일(Kakao Style),https://static.wanted.co.kr/images/wdes/0_4.91230f12.png,https://www.wanted.co.kr/wd/92165,"[1, 10]"
5,30726,,"['Hadoop', 'Linux', 'Spark', 'Google Analytics', 'AWS', 'GCP']","['Salary Top 1%', 'Stable Investment', 'Rapid Company Growth', '6~10% Turnover Rate', '301~', 'Established over 10 years', 'Medical Expenses', 'Welfare']",데이터 사이언티스트,"['데이터 엔지니어', '데이터 사이언티스트', '머신러닝 엔지니어']",Korea,"서울특별시 구로구 디지털로 26길 38, G-Tower 넷마블, Netmarble Building, 38, Digital-ro 26-gil, Guro-Gu",37.4798477,126.8953184,APPROXIMATE,Seoul,kr,"- 5년 이상 데이터 사이언스 및 분석 경력 또는 이에 준하는 경험을 보유하신 분
- 정형/비정형 데이터 분석 및 모델링을 해 보신 분
- 통계 분석 도구 (Python, Tensorflow, Tableau 등) 및 SQL 사용 가능하신 분
- 다양한 직군의 사람들과 원활한 커뮤니케이션 및 협업 가능하신 분","- 게임 데이터 분석 (유저행동 분석)
  · 게임서비스 고도화를 위한 유저세그먼트 및 지표 개발
  · 게임 서비스 최적화를 위한 분석 업무 수행
  · 게임데이터 기반의 통계분석 모델 및 예측모델 개발
  · 머신러닝, 데이터분석 관련 신기술 탐색 및 적용

- 마케팅 데이터 분석
  · 디지털 마케팅 최적화를 위한 분석 업무 수행
  · 디지털 마케팅 최적화를 위한 각종 예측 모델 개발/운영
  · 머신러닝 서비스 개발/운영","- GCP와 같은 클라우드 환경(AWS, Azure) 경험이 있으신 분
- 게임 및 마케팅 도메인에 대한 지식이 있으신 분
- 데이터 사이언스나 데이터 분석 연관 석박사 학위 소지하신 분
  (통계학, 경영학, 컴퓨터공학 또는 관련 전공)
- 시계열 데이터 분석 또는 모바일 마케팅 분석 경험이 있으신 분","IT, Media",77.4,8.0,Netmarble,https://static.wanted.co.kr/images/wdes/0_4.c2f82a4e.jpg,https://www.wanted.co.kr/wd/30726,"[5, 10]"
6,94215,,"['Git', 'iOS', 'Python', 'AWS', 'Spring Framework']","['Competitive Salary', 'Rapid Company Growth', 'Less than 50 employees', 'Company less than 10 years old', 'AI']",데이터 사이언티스트,['데이터 사이언티스트'],Korea,"성동구 연무장5길 9-16, 블루스톤타워 902호",37.5443696,127.052677,ROOFTOP,Seoul,kr,"(신입)
- Python을 이용한 데이터 분석 경험이 있으신 분
- SQL을 통한 쿼리 작성이 가능하신 분
- 적극적이고, 원활한 커뮤니케이션이 가능한 분

(경력)
- 데이터 파이프라인에 대한 기본적인 이해를 갖고 계신 분
- Python을 이용한 데이터 파이프라인 구축 경험이 있으신 분
- 효율적인 SQL 쿼리 작성과 쿼리에 대한 분석 능력을 갖추신 분
- 데이터를 통한 문제 진단 및 문제 해결에 익숙하신 분
- 적극적이고, 원활한 커뮤니케이션이 가능한 분","- 데이터 파이프라인 시스템 설계, 개발 및 운영
- 데이터 분석 환경에 관한 인프라 설계, 개발 및 운영
- 데이터 분석 및 비즈니스 요구 사항에 따른 데이터 마트 및 통계 산출
- 추천 시스템 개발 및 품질 개선","- AWS, GCP등 클라우드 환경에서의 데이터 엔지니어링 경험이 있으신 분
- Airflow를 통한 워크플로우 관리 경험이 있으신 분
- 대용량 데이터 처리를 위한 파이프라인 구축을 경험해보신 분
- RDB, NoSQL(MongoDB) 기반 개발 경험이 있으신 분
- 그래프DB(ArangoDB)를 활용한 데이터 분석 경험이 있으신 분
- 쿼리 엔진(Presto)에 대한 경험이 있으신 분
- 추천 시스템에 대한 경험이 있으신 분
- 이커머스 도메인에 대한 경험이 있으신 분","IT, Media",40.0,9.0,서울벤처스,https://static.wanted.co.kr/images/wdes/0_4.bad7d60c.png,https://www.wanted.co.kr/wd/94215,"[0, -1]"
7,96263,2022-09-30,"['Kotlin', 'C++', 'Logic Pro', 'Flutter']","['Salary Top 1%', 'Less than 5% Turnover Rate', 'Less than 50 employees', 'Company less than 10 years old', 'Stock Option', 'Drinks', 'Beer', 'Snacks', 'Birthday Gift', 'Check-up', 'Medical Expenses', 'School fee', 'Self-Improvement']",Big Data Engineer,['빅데이터 엔지니어'],Korea,강남구 테헤란로 505,37.5075748,127.0574627,ROOFTOP,Seoul,kr,"• 아래 요건을 갖추신 분들의 지원을 기다립니다. 

- 데이터 엔지니어링 개발 및 운영 경력이 2년 이상 이거나, 이에 준하는 실무 경험이 있는 분
- 데이터레이크 설계, 구축 및 운영 경험이 있는 분
- 대용량 분산 처리를 위한 시스템 기반, 서비스 런칭 경험이 있는 분
- 동료를 존중하고, 커뮤니케이션을 중요한 가치로 여기는 분","• 가우디오랩의 모든 개발/연구 포지션은 전문연구요원/산업기능요원(보충역 편입/전직, 현역 전직) 지원 가능합니다 :)

• 주요 업무

- 오디오, 메타데이터 등 대용량 데이터 처리를 위한 데이터 엔지니어링 업무를 진행합니다.
- AWS 인프라에서 데이터 레이크 운영 및 데이터 파이프라인을 설계합니다. 
- 비지니스 요구사항에 맞춰 데이터 분석 환경을 구축합니다. 
- 가우디오랩은 세상의 모든 좋은소리를 저장하고 서비스하려는 비전을 가지고 있습니다. 본 포지션을 통해 대규모 데이터를 관리하고, 데이터로부터 비즈니스를 이끌어 낼 수 있는 Technical Leader로의 성장이 기대됩니다. 

• AI그룹 개발 문화 

- AWS 기반 신규 플랫폼서버를 구축하는 팀으로 AI Research 팀과 협업하여 서비스화를 개발하며, MLOps를 통해 Continuous Training 을 계획하고 있습니다.
- Business Agility 를 위해 MSA 기반으로 다양한 서비스를 쉽고 빠르게 개발 할 수 있는 아키텍처를 지향합니다.
- Agile 기반의 업무 프로세스와 개인의 역할과 책임 하에 자율성을 가지고 일할 수 있어요! 또한 팀 내 리뷰 문화를 통해 지식 공유를 중요시 합니다.
- DevOps 문화를 중시하고, 개발~운영 단계의 가능한 것은 자동화하는 것을 지향합니다.
- Scrum(stand-up meeting), 전사 타운홀 등 오픈 커뮤니케이션 문화를 지향합니다.

• 영입 절차

[지원 서류→ (코딩테스트*) → (Pre-interview**) → 기술 인터뷰 → Libero 인터뷰]에 걸쳐 만나게 되나, 상황에 따라 조율이 있을 수 있습니다. 

1. 서류 및 코딩테스트를 통해 만납니다.
- 기본적인 코딩 지식과 기술 등에 대해 확인합니다.
- (*)코딩테스트는 필요에 따라 실시하지 않을 수도 있습니다. 

2. (**)Pre-interview는 필요한 경우 온라인으로 짧게 진행됩니다. (약 30분)
- 서로 첫 인사를 나누고, 지원서류에서 미처 확인하지 못한 부분에 대한 질문 및 역량을 확인합니다. 
- Tech Leader가 참여합니다.

3. 기술 인터뷰를 진행합니다. (약 1~2시간)
- 지원자 분께서 미리 준비해 온 기술 포트폴리오 자료에 대한 발표시간을 갖습니다.
- 소프트웨어의 이해 수준 및 문제 해결 논리를 확인합니다.
- 실무에서 발생할 수 있는 상황을 기초로 문제 해결의 논리와 생각을 나눕니다.
- Team Lead, Tech Lead, VP of Engineering이 참여합니다.

4. Libero 인터뷰를 진행합니다. (약 1시간)
- 가우디오랩과의 전반적인 Fit을 확인하는 과정입니다.
- 그동안 경험하신 내용에 대한 질답을 통해 예비 가우딘에 대해 더 깊게 알아갑니다.
- 가우디오랩에 궁금했던 점이 있다면 편히 물어보는 시간입니다. 
- 가우디오랩의 Leadership과 HR이 참여합니다. 


• 경력기술서 혹은 포트폴리오 제출시, 수행 프로젝트에서 본인의 역할과 업무 내역을 필수적으로 기재해주세요.

• 각 절차마다 예상되는 소요기간은 약 1주일입니다만, 그보다 빠르게 답변을 드리고자 열심히 노력하고 있습니다.","• 이런 경험이 있는 분이면 더 좋아요!

- 데이터를 통해 인사이트 발견하여 서비스로 연결한 경험 
- Airflow 등의 Workflow 관리 경험
- 데이터 카탈로그 관리 경험
- 백엔드 개발 경험
- Agile Development 개발 경험","IT, Media",93.0,2.0,가우디오랩,https://static.wanted.co.kr/images/wdes/0_4.cf38b233.jpg,https://www.wanted.co.kr/wd/96263,"[1, -1]"
8,118793,,"['AWS', 'Spring Framework', 'RESTful WebServices', 'RESTful architecture']","['Rapid Company Growth', '301~', 'Company less than 10 years old', 'Sabbatical Leave', 'Flat Organization', 'Casual Attire', 'Snacks', 'Check-up', 'Salary Top 11~20%']",그로스해커/기획자,"['데이터 엔지니어', '데이터 사이언티스트', 'DBA']",Korea,송파구 올림픽로 300 36F (잠실 롯데타워),37.5125702,127.1025625,ROOFTOP,Seoul,kr,"• 그로스해킹/퍼포먼스 마케팅 영역을 경험하신 분
• 서비스 및 제품, 사업의 전략 및 기획을 경험하신 분",• 에이피알 브랜드 Funnel 전반에 걸쳐 UX 설계 및 문제해결,"•A/B 테스트 등 여러 가설을 수립하고 빠른 실험을 구상하여 실행하고 성과를 검증하는 체계에 익숙하신 분
• 데이터 기반의 가설 검증 프로세스를 통해 성과에 기여한 경험을 구체적으로 나눠줄 수 있는 분
• Gamification, Referral, Affiliate marketing 등을 기획한 경험을 갖고 계신 분
• 브리핑을 포함하는 데이터 기반 캠페인 전환 유도, 기획, 경험, 디자인, 테스트, 최적화 및 보고 등의 경험을 갖고 계신 분","Wholesale, Retail",74.6,5.0,에이피알,https://static.wanted.co.kr/images/wdes/0_4.94ecb227.jpg,https://www.wanted.co.kr/wd/118793,"[3, 10]"
9,112649,,"['Python', 'SQL']","['Salary Top 6~10%', 'Rapid Company Growth', 'Less than 50 employees', 'Founded 3 years or less', 'Snacks', 'Check-up', 'AI', 'Laptop']",Data Science,['데이터 사이언티스트'],Korea,서울특별시 성동구 광나루로 130 (성수동1가),,,APPROXIMATE,Seoul,kr,"• 데이터 사이언스 관련 서비스 기획 역량 및 적용 경험 있으신 분
• Data 분석 기획/분석을 자유자재로 수행가능하신 분","• 데이터 사이언스 기반 서비스 기획 및 PO
• 데이터 분석을 통한 서비스 문제점 및 인사이트 도출","• 금융, 유통, 제조, 인프라 등 다양한 산업의 데이터 분석 기반 신규 서비스 개발 경험이 있으신 분
• 데이터 사이언스 관련 프로젝트를 수행하고 실제 상용 서비스에 적용한 경험이 있으신 분
• 다양한 Industry의 데이터에 대한 관심이 많고, 서비스 개선에 대해 열정을 보유하신 분","IT, Media",87.9,3.0,하이퍼라운지,https://static.wanted.co.kr/images/wdes/0_4.d53c3f8c.jpg,https://www.wanted.co.kr/wd/112649,"[-1, -1]"
10,112650,,"['Python', 'SQL']","['Salary Top 6~10%', 'Rapid Company Growth', 'Less than 50 employees', 'Founded 3 years or less', 'Snacks', 'Check-up', 'AI', 'Laptop']",Data Scientist (서비스 설계 및 모델 구축),['데이터 사이언티스트'],Korea,서울특별시 성동구 광나루로 130 (성수동1가),,,APPROXIMATE,Seoul,kr,"• AI/ML 알고리즘에 대한 기본 지식 보유 및 서비스 적용 경험이 있으신 분
• EDA 및 데이터 가공 역량 보유
• AI/ML서비스 개발을 위한 하나 이상의 언어/도구 활용 능력이 있으신 분(Python, R등)","• 머신러닝/딥러닝 알고리즘에 이해 기반 당사 신규 서비스 영역 발굴
• 신규 서비스 제공을 위한 모델 활용/개발 및 서비스 구축","• 금융, 유통, 제조, 인프라 등 다양한 산업의 데이터 분석 기반 신규 서비스 개발 경험이 있으신 분
• 데이터 분석/알고리즘을 개발하여 실제 상용 서비스에 적용한 경험이 있으신 분(Anomaly Detection 또는 자연어 기반 주제 분류 등 프로젝트 경험 우대)
• 다양한 유형의 데이터에 대한 관심이 많고, 데이터 분석 인사이트를 열정적으로 논의하실 수 있는 분","IT, Media",87.9,3.0,하이퍼라운지,https://static.wanted.co.kr/images/wdes/0_4.d53c3f8c.jpg,https://www.wanted.co.kr/wd/112650,"[-1, -1]"
11,104455,,"['C#', 'C++']","['Salary Top 1%', 'Rapid Company Growth', '51~300 employees', 'Company less than 10 years old', 'Daycare Center', 'Check-up', 'Group Insurance', 'AI']",Large Scale Deep Learning Scientist/Engineer,['머신러닝 엔지니어'],Korea,"경기도 성남시 분당구 판교역로 152, 알파돔타워 12층 카카오브레인",,,APPROXIMATE,Gyeonggi,kr,"- Tensorflow/Pytorch 중 하나 이상에 능통하신 분
- 딥러닝 최신 연구동향 및 활용에 관심이 많으신 분
- 대용량 데이터 처리 및 파이프라인 시스템에 관심이 있으신 분","- 최신 기계학습 방법(GPT-3/CLIP/DALL-E)에 대한 language/image/video 및 multimodal에 대한 연구 및 구현합니다.
- 딥러닝 알고리즘의 개발, 최적화, 실험을 통해 성능 검증 및 지속 개선 합니다.
- 대용량 딥러닝 가속 클러스터에서 분산 학습 및 빅모델을 구현하고 개선 합니다.
- 딥러닝 엔지니어와 사이언티스트의 업무를 경계 없이 수행합니다.","- 대용량 데이터 및 대용량 딥러닝 가속 클러스터에 경험과 이해도가 높으신 분
- Top-tier급 학회의 Machine Learning또는 Computer Vision 관련 논문 실적을 보유하신 분
- 캐글 등의 다양한 컴피티션 수상이 있으신 분

영입 절차
- 서류 심사 → 1차 코딩테스트 → 온라인 인터뷰 → 2차 코딩테스트 → 최종 인터뷰 → 입사확정
(영입프로세스는 변경될 수 있으며 서류합격시 영입프로세스에 대해 별도로 안내해 드립니다)

기타 사항
- 남성의 경우 이력서에 병역사항을 반드시 작성해 주시기 바랍니다.","IT, Media",93.5,4.0,카카오브레인,https://static.wanted.co.kr/images/wdes/0_4.f908f8f5.png,https://www.wanted.co.kr/wd/104455,"[0, -1]"
12,47118,2022-07-31,"['Zeplin', 'Git', 'JIRA', 'MySQL', 'CSS', 'Java', 'JavaScript', 'Kotlin', 'Ruby', 'AWS', 'HTML5', 'Docker', 'Spring Framework', 'Gradle', 'JPA', 'Spring Boot']","['Salary Top 6~10%', 'Rapid Company Growth', '51~300 employees', 'Established over 10 years', 'Startup', 'Coffee', 'Seminar Participation Fee']",머신러닝 개발자,"['파이썬 개발자', '머신러닝 엔지니어', '소프트웨어 엔제니어']",Korea,"강남구 강남대로 308, 7층",37.4906371,127.0317381,ROOFTOP,Seoul,kr,"• 다양한 협업 환경에서 일할 수 있는 능력을 갖추신 분
• 문제를 정의하고, 논리적으로 해결하고, 이해하기 쉽게 설명할 수 있는 분
• 머신 러닝 알고리즘에 대한 기본기를 갖추신 분
• NLP/Numerical Data 등 특정 혹은 관심 영역에 존재하는 최신 알고리즘에 대한 이해가 있으신 분
• Tensorflow, PyTorch, JAX 등 오픈소스 프레임워크 기반 개발역량을 포함한 파이썬 개발역량이 충분하신 분
• 논문을 읽고 이를 빠르고 정확하게 구현할 수 있는 능력을 갖추신 분
• 기계학습과 딥러닝에 대한 전문 지식을 갖추고 관련 프로젝트 경험이 있으신 분
• 휴레이의 비전에 공감하고 휴레이의 기술 및 서비스를 함께 성장시키고 싶은 강한 의지가 있으신 분
• 누구나 인정할 만한 역량이나 성과가 있든가, “나는 사실 기회만 주어지면 누구보다 잘할 수 있는데 왜 세상은 나를 알아주지 않는가” 라고 탄식해 보신 분","• 고객을 위한 자연어 응답을 위한 모델 연구 및 개발(NLP)
• 헬스케어 도메인에 특화된 데이터 분석 및 개발(Numerical Data)
• 서비스에 필요한 새로운 문제 도출과 머신러닝/딥러닝 알고리즘을 통한 해결","• 2년 이상의 연구 혹은 AI 프로젝트 리딩 경험이 있으신 분
• 대규모 상용 ML(NLP/Numerical Data 등) 제품 개발 경험이 있으신 분
• 대규모 데이터로 부터 AI모델을 개발 해본 경험이 있으신 분
• 기계학습 관련 오픈 소스 개발에 참여해 본 경험이 있으신 분
• Container 기술에 익숙하신 분 (Docker, Kubernetes)
• 클라우드 환경에서 서비스를 운영해보신 경험이 있으신 분 (AWS, GCP, Azure)
• 머신러닝 파이프라인 구축 경험이 있으신 분 (Airflow, Kubeflow Pipelines)
• 멀티 노드 GPU/TPU 환경에서 대형 모델을 학습한 경험이 있으신 분
• 딥러닝 모델 Result Metrics 구현 및 분석 가능하신 분
• ML 관련 Top-tier 학회 및 저널 Publication 실적이 있으신 분
• (ML 전반) NeurIPS, ICML, ICLR, AAAI, IJCAI
• (NLP 전반) ACL, EMNLP, NAACL
• (Data Mining) KDD 등
• AI 관련 Challenge 수상 실적이 있으신 분 (Kaggle, Hackathon 등)
• 면접에서 기계 학습 관련 질문에 대해 방대한 지식을 자랑할 수 있으신 분","IT, Media",94.3,2.0,휴레이포지티브,https://static.wanted.co.kr/images/wdes/0_4.9bc8795a.jpg,https://www.wanted.co.kr/wd/47118,"[0, -1]"
13,104454,,"['C#', 'C++']","['Salary Top 1%', 'Rapid Company Growth', '51~300 employees', 'Company less than 10 years old', 'Daycare Center', 'Check-up', 'Group Insurance', 'AI']",Large Scale Data & Deep Learning Engineer,['머신러닝 엔지니어'],Korea,"경기도 성남시 분당구 판교역로 152, 알파돔타워 12층 카카오브레인",,,APPROXIMATE,Gyeonggi,kr,"- Python, Go, Scala, Java, C++중 하나 이상의 언어에 능통하신 분
- 대용량 데이터 처리 및 파이프라인 시스템 사용 경험이 있고 관심이 많으신 분
- 딥러닝에 관심이 있으신 분","- 딥러닝 알고리즘의 핵심이 될 데이터를 수집, 분석하고 산출합니다.
- 대규모 데이터셋을 구축하기 위한 알고리즘의 개발, 최적화, 실험을 통해 성능 검증 및 지속 개선 합니다.
- 데이터 엔지니어와 사이언티스트의 업무를 경계 없이 수행합니다.","- 대용량 데이터 및 대용량 딥러닝 가속 클러스터 경험
- 데이터셋 구축을 위한 경험이나 관련 기술 보유
- 자연어 처리나 HTML파싱(crawl)등 web data분석이나 활용 경험 보유
- Hadoop/Spark/Elasticsearch 기반 개발/운영 경험이 있으신 분
- 컨테이너 환경(Docker/Kubernetes)에서 개발/운영 경험이 있으신 분

영입 절차
- 서류 심사 → 1차 코딩테스트 → 온라인 인터뷰 → 2차 코딩테스트 → 최종 인터뷰 → 입사확정
(영입프로세스는 변경될 수 있으며 서류합격시 영입프로세스에 대해 별도로 안내해 드립니다)

기타 사항
- 남성의 경우 이력서에 병역사항을 반드시 작성해 주시기 바랍니다.","IT, Media",93.5,4.0,카카오브레인,https://static.wanted.co.kr/images/wdes/0_4.f908f8f5.png,https://www.wanted.co.kr/wd/104454,"[0, -1]"
